0.004, 100, 0.005923, 0.006097, 0.005923, 0.020517, 0.023990, 0.029598,
0.004, 200, 0.004077, 0.004247, 0.004077, 0.016973, 0.019752, 0.024466,
0.004, 300, 0.003263, 0.003430, 0.003263, 0.015203, 0.017627, 0.021874,
0.004, 400, 0.002780, 0.002945, 0.002780, 0.014061, 0.016255, 0.020196,
0.004, 500, 0.002452, 0.002614, 0.002452, 0.013232, 0.015262, 0.018977,
0.004, 600, 0.002211, 0.002370, 0.002211, 0.012589, 0.014493, 0.018033,
0.004, 700, 0.002025, 0.002181, 0.002025, 0.012068, 0.013872, 0.017269,
0.004, 800, 0.001875, 0.002030, 0.001875, 0.011633, 0.013355, 0.016631,
0.004, 900, 0.001751, 0.001904, 0.001751, 0.011260, 0.012913, 0.016086,
0.004, 1000, 0.001647, 0.001798, 0.001647, 0.010936, 0.012530, 0.015613,
0.004, 1100, 0.001558, 0.001707, 0.001558, 0.010649, 0.012192, 0.015196,
0.004, 1200, 0.001480, 0.001628, 0.001480, 0.010393, 0.011892, 0.014825,
0.004, 1300, 0.001412, 0.001558, 0.001412, 0.010162, 0.011621, 0.014490,
0.004, 1400, 0.001351, 0.001496, 0.001351, 0.009952, 0.011376, 0.014187,
0.004, 1500, 0.001297, 0.001440, 0.001297, 0.009760, 0.011152, 0.013910,
0.004, 1600, 0.001248, 0.001390, 0.001248, 0.009583, 0.010946, 0.013655,
0.004, 1700, 0.001203, 0.001344, 0.001203, 0.009419, 0.010756, 0.013419,
0.004, 1800, 0.001162, 0.001302, 0.001162, 0.009266, 0.010579, 0.013201,
0.004, 1900, 0.001125, 0.001264, 0.001125, 0.009124, 0.010415, 0.012997,
0.004, 2000, 0.001091, 0.001228, 0.001091, 0.008991, 0.010261, 0.012807,
0.004, 2100, 0.001059, 0.001196, 0.001059, 0.008865, 0.010117, 0.012628,
0.004, 2200, 0.001030, 0.001165, 0.001030, 0.008747, 0.009981, 0.012459,
0.004, 2300, 0.001002, 0.001137, 0.001002, 0.008635, 0.009853, 0.012300,
