0.004, 1000, 0.001405, 0.001657, 0.001405, 0.010441, 0.011884, 0.014802,
0.004, 2000, 0.000900, 0.001116, 0.000900, 0.008392, 0.009658, 0.012054,
0.004, 3000, 0.000689, 0.000884, 0.000689, 0.007349, 0.008547, 0.010683,
0.004, 4000, 0.000569, 0.000749, 0.000569, 0.006674, 0.007835, 0.009805,
0.004, 5000, 0.000489, 0.000658, 0.000489, 0.006186, 0.007322, 0.009173,
0.004, 6000, 0.000433, 0.000592, 0.000433, 0.005809, 0.006928, 0.008687,
0.004, 7000, 0.000389, 0.000541, 0.000389, 0.005505, 0.006611, 0.008296,
0.004, 8000, 0.000355, 0.000501, 0.000355, 0.005253, 0.006347, 0.007972,
0.004, 9000, 0.000328, 0.000468, 0.000328, 0.005039, 0.006124, 0.007697,
0.004, 10000, 0.000305, 0.000440, 0.000305, 0.004854, 0.005930, 0.007459,
